Driver,Score,AbsScore
sizeteam,0.11645882739425358,0.11645882739425358
salary_broader,0.5911991940103184,0.5911991940103184
have_comp_degree_Have comp or data degree,0.052404196196848725,0.052404196196848725
have_comp_degree_Not have,-0.0524065339482299,0.0524065339482299
careerstg_Career shifter - currently working in a non-data-related role,-0.9996353788154015,0.9996353788154015
careerstg_Freelance - working independently in a data-related role,0.3244912752268213,0.3244912752268213
careerstg_Government - employed in a data-related role in the public sector,0.7169678572990567,0.7169678572990567
careerstg_Professional - employed full-time in a data-related role,-0.04182609146185107,0.04182609146185107
employertype_Foreign employer,0.12948401341121818,0.12948401341121818
employertype_I'm an entrepreneur,-1.0244845447130717,1.0244845447130717
employertype_I'm self-employed,-0.18984992114705895,0.18984992114705895
employertype_Local employer,0.15316672017979993,0.15316672017979993
employertype_Multinational employer,-0.035663690595324746,0.035663690595324746
employertype_Public service,-0.36805195590508627,0.36805195590508627
typework_Contract fixed timeline,-0.10405418447370336,0.10405418447370336
typework_Freelance,-0.5445033019770185,0.5445033019770185
typework_Full-time,-0.08448944309418284,0.08448944309418284
typework_Internship,0.0,0.0
typework_Part-time,-0.07256640573019009,0.07256640573019009
sitework_Hybrid,0.9659762572537928,0.9659762572537928
sitework_Mostly onsite,0.6686665479514307,0.6686665479514307
sitework_Mostly work from home/ fully remote,1.2231027317341796,1.2231027317341796
how_long_in_salary_1.0,-0.021928977368243396,0.021928977368243396
how_long_in_salary_2.0,-0.05950417136538308,0.05950417136538308
how_long_in_salary_3.0,-0.2591758913269808,0.2591758913269808
how_long_in_salary_4.0,-0.37391225458124705,0.37391225458124705
how_long_in_salary_5.0,-0.5614591487658482,0.5614591487658482
how_long_in_salary_6.0,-0.23130848264493456,0.23130848264493456
how_long_in_salary_7.0,-0.1429621998304108,0.1429621998304108
shift_schedule_Day shift,0.14900054063175036,0.14900054063175036
shift_schedule_Flexible,0.36504105527919495,0.36504105527919495
shift_schedule_Mid shift,-0.20190997813582165,0.20190997813582165
shift_schedule_Night shift,-0.3545689288295435,0.3545689288295435
shift_schedule_Not Applicable,0.04243497330303518,0.04243497330303518
datarole_Admin & Support Role,-0.3005584300876277,0.3005584300876277
datarole_Consulting & Freelance,1.444300051697197,1.444300051697197
datarole_Content Related,-0.8576151821526891,0.8576151821526891
datarole_Customer Service & Operations,0.1704211330637184,0.1704211330637184
datarole_Data Analysis & Insights,0.27038025166379276,0.27038025166379276
datarole_Data Engineering,0.16353112350098448,0.16353112350098448
datarole_Data Processing & Entry,-0.41389282847572656,0.41389282847572656
datarole_Data Science,0.7322894015897314,0.7322894015897314
datarole_Education & Learning,-0.039478231886253795,0.039478231886253795
datarole_Engineering,-0.16883988724629548,0.16883988724629548
datarole_Legal & Public Affairs,0.0,0.0
datarole_Management & Leadership,-0.5218050273200989,0.5218050273200989
datarole_Marketing & Sales,0.11700430550330342,0.11700430550330342
datarole_Not Applicable,-0.3939680912323751,0.3939680912323751
datarole_Research,-0.532558452531748,0.532558452531748
datarole_Software Engineering,0.004629444068728349,0.004629444068728349
datarole_Technical Support & It Operations,0.022068155450130973,0.022068155450130973
side_gig_No side gig p12m,-0.14890098452477035,0.14890098452477035
side_gig_Side gig p12m,0.14889864677338585,0.14889864677338585
"ai_work_No, and I don't plan to.",0.8303674300084184,0.8303674300084184
"ai_work_No, but I plan to soon.",0.9642884022207251,0.9642884022207251
"ai_work_Yes, I use AI tools DAILY for work.",0.6694468575750672,0.6694468575750672
"ai_work_Yes, I use AI tools MONTHLY or LESS frequently for work.",0.05893601143734223,0.05893601143734223
"ai_work_Yes, I use AI tools WEEKLY for work.",0.6993483399580542,0.6993483399580542
"ai_study_No, and I don't plan to.",0.20487010675156805,0.20487010675156805
"ai_study_No, but I plan to soon.",-0.7613146614848431,0.7613146614848431
"ai_study_Yes, I use AI tools DAILY for study.",0.08918519291746513,0.08918519291746513
"ai_study_Yes, I use AI tools MONTHLY or LESS frequently for study.",-0.19112226120502912,0.19112226120502912
"ai_study_Yes, I use AI tools WEEKLY for study",-0.18892967276455516,0.18892967276455516
